주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명
345-3-000171,신안국민체육관,공영,부설,,전남광주통합특별시 신안군 암태면 단고리 967번지,39,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000170,에로스서각박물관주차장,공영,노외,,전남광주통합특별시 신안군 암태면 신석리 1717번지,45,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000169,오도주차장,공영,노외,,전남광주통합특별시 신안군 암태면 신석리 1-2번지,83,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000168,남강주차장,공영,노외,,전남광주통합특별시 신안군 암태면 와촌리 679-3번지,41,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000167,팔금종합복지타운 주차장,공영,부설,,전남광주통합특별시 신안군 팔금면 읍리 501-2번지,47,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000166,신안군관광협의회 팔금면지회,공영,부설,,전남광주통합특별시 신안군 팔금면 읍리 411-1번지,8,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-3-000165,팔금면사무소 주차장,공영,부설,,전남광주통합특별시 신안군 팔금면 읍리 411-1번지,19,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000164,팔금초등학교,공영,노외,,전남광주통합특별시 신안군 팔금면 읍리 699번지,22,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,Y,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000163,팔금특산물판매장(임시) 주차장,공영,노외,,전남광주통합특별시 신안군 팔금면 원산리 532-2번지,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
345-2-000162,백계 선착장 주차장,공영,노외,,전남광주통합특별시 신안군 팔금면 장촌리 1007-2번지,16,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,전남광주통합특별시 신안군청,,,,N,2026-08-04,5910000,전남광주통합특별시 신안군
